言語ID,メッセージID,メッセージ
"JP","E252","%1行目の%2は%3を入力してください。"
"JP","E253","%1行目の%2と%3が一致するように入力してください。"
"JP","E254","「%1」と異なる「%2」を入力してください。"
"JP","E255","入力した%1は既に%2で入力済です。"
"JP","E256","%1は、%2より%3以内の日付を入力してください。"
"JP","E257","「%1」の[%2]がマスタに存在しません。"
"JP","E258","既に%1のため、%2できません。"
"JP","E259","既に登録済の%1が存在します。"
"JP","E260","「%1」の主管が存在しなくなるため、請求先の口座移動はできません。"
"JP","E261","経理日報申請済の明細があるため、%1できません。"
"JP","E262","%1[%2]は既に同じ「売上日」で申請済です。（申請NO[%3]）"
"JP","E263","本伝票は%1のため、%2できません。（申請NO[%3]）"
"JP","E264","本伝票の親伝票がまだ決裁されていないため、可決できません。（申請NO[%1]）"
"JP","E265","%1で入力されている得意先コード[%2]は入金入力されていないため、申請できません。"
"JP","E266","得意先コード[%1]は調整内容が入力されていません。"
"JP","E267","チャネル区分が[%1]の得意先コードは入力できません。"
"JP","E268","「発生日」は契約期間内[%1]～[%2]の日付を入力してください。"
"JP","E269","選択した請求先は%1のため、使用できません。"
"JP","E270","指定したファイルにデータがありません。"
"JP","E271","指定した「売上日」は既に申請済です。"
"JP","E272","指定した預入日以降の売上日の明細は選択できません。"
"JP","E273","「現金」が0円で、かつ「保留小切手情報」が入力されていないため、申請できません。"
"JP","E274","既存の請求先を選択する場合は、総括請求先を入力してください。"
"JP","E275","フルオペ預り金総括請求先は「末端チャネル区分がＦＯでかつ末端請求支払区分が請求」以外の場合、選択できません"
"JP","E276","%1はいずれか１つのみ%2してください。"
"JP","E278","%1行目の%2は%3ため、%4できません。"
"JP","E279","%1以降に%2が行われています。"
"JP","E280","%1を設定してください。"
"JP","E281","%1に%2が存在するため、%3できません。"
"JP","E282","%1場合は、%2を%3してください。"
"JP","E283","合計0円の申請はできません。経理日報（調整）で申請してください。"
"JP","E998","帳票出力に失敗しました。"
"JP","E999","ダウンロード中にエラーが発生しました。"
"JP","I001","「%1」にコード[%2]が登録されました。"
"JP","I002","社員　%1：%2のパスワードを初期化しました。"
"JP","I003","既に「%1」「%2」により登録されています。上書きしてよろしいですか。"
"JP","I004","データの設定を行います。よろしいですか？"
"JP","I005","データの申請を行います。よろしいですか？"
"JP","I006","データの可決を行います。よろしいですか？"
"JP","I007","データの否決を行います。よろしいですか？"
"JP","I008","「%1」が「%2」されました。"
"JP","I009","変更する情報がありませんでした。"
"JP","I010","変更後口座はほかの支払先が使われている口座ですが、%1してもよろしいですか？"
"JP","I011","%1件中、%2件処理しました。"
"JP","I012","正常終了しました。"
"JP","I013","%1伝票No[%2]が%3されました。"
"JP","I014","手数料再計算しました。"
"JP","I015","確定対象が存在しない為、請求確定区分のみの更新となります。よろしいですか？"
"JP","I016","%1の管理票Ｎｏです。"
"JP","I017","この依頼は%1に%2によって未受付に戻されています。作業会社への二重手配に注意してください。"
