コンデションID,コンディション名称,項目順序,コンディション項目ID,コンディション値,コンディションラベル,登録担当者,登録日付,更新担当者,更新時間
"COD_KAISYU_CYCLE_KBN02","回収サイクル区分02","1","TOUGETU","0","当月","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_KAISYU_CYCLE_KBN02","回収サイクル区分02","2","YOKUGETU","1","翌月","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_KAISYU_CYCLE_KBN02","回収サイクル区分02","3","YOKU2GETU","2","翌々月","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_KAISYU_CYCLE_KBN02","回収サイクル区分02","4","YOKU3GETU","3","翌々々月","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_KAISYU_CYCLE_KBN02","回収サイクル区分02","5","ETC","9","その他","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_KAISYU_HOUHOU_KBN01","回収方法区分01","1","SYUKIN","0","集金","lpa01","2008/08/18 20:41:24","fsol14","2009/12/02 14:51:19"
"COD_KAISYU_HOUHOU_KBN01","回収方法区分01","2","HURIKOMI","1","振込","lpa01","2008/08/18 20:41:24","fsol14","2009/12/02 14:51:19"
"COD_KAISYU_HOUHOU_KBN02","回収方法区分02","1","ALLVALUE","ALLVALUE","全て","fsol10","2011/01/06 22:40:34","fsol10","2011/01/20 16:23:40"
"COD_KAISYU_HOUHOU_KBN02","回収方法区分02","2","SYUKIN","0","集金","fsol10","2011/01/06 22:40:34","fsol10","2011/01/20 16:23:40"
"COD_KAISYU_HOUHOU_KBN02","回収方法区分02","3","HURIKOMI","1","振込","fsol10","2011/01/06 22:40:34","fsol10","2011/01/20 16:23:40"
"COD_KAIYAKU_RIYU_KBN01","解約理由区分01","1","YUSYOU_UPDATE","01","有償更新のため","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:51:34"
"COD_KAIYAKU_RIYU_KBN01","解約理由区分01","2","ETC","99","その他","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:51:34"
"COD_KANRI_HYOU_NO_KBN01","管理票番号区分01","1","KANRI_HYOU","01","管理票No.","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:51:42"
"COD_KANRI_HYOU_NO_KBN01","管理票番号区分01","2","DAITAI","02","代替管理票No.","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:51:42"
"COD_KANRI_KBN01","管理区分01","1","KANRI_SINAI","0","管理しない","lpa01","2008/08/18 20:21:38","fsol14","2009/12/02 14:51:52"
"COD_KANRI_KBN01","管理区分01","2","KANRI_SURU","1","管理する","lpa01","2008/08/18 20:21:38","fsol14","2009/12/02 14:51:52"
"COD_KEIHI_HAIHU_KBN01","経費配賦方法区分01","1","TOK_URI_HIRITU","0","得意先売上比率","fsol07","2011/02/17 11:07:49","fsol07","2011/02/17 11:07:49"
"COD_KEIHI_HAIHU_KBN01","経費配賦方法区分01","2","KOBETU","1","個別指定","fsol07","2011/02/17 11:07:49","fsol07","2011/02/17 11:07:49"
"COD_KEIHI_KOUZA_KBN01","経費口座区分01","1","NASI","0","なし","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_KEIHI_KOUZA_KBN01","経費口座区分01","2","ZIBUSYO","1","自部署","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_KEIHI_KOUZA_KBN01","経費口座区分01","3","GENKINWATASI","2","現金渡し","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_KEIRI_TOKUSYU_KBN01","経理用特殊区分01","1","TUZYOU","0","通常","fsol10","2011/01/17 13:48:29","fsol10","2011/01/17 13:48:29"
"COD_KEIRI_TOKUSYU_KBN01","経理用特殊区分01","2","TOKUSYU","1","特殊","fsol10","2011/01/17 13:48:29","fsol10","2011/01/17 13:48:29"
"COD_KEISYO_NEW_KBN01","契約書新規区分01","1","NEW","0","新規","lpa00","2008/07/11 12:56:39","fsol14","2009/12/02 14:52:25"
"COD_KEISYO_NEW_KBN01","契約書新規区分01","2","KIZON","1","既存","lpa00","2008/07/11 12:56:39","fsol14","2009/12/02 14:52:25"
"COD_KEISYO_SOUHU_KBN01","契約書送付区分01","1","MISOUHU","0","未送付","lpa00","2008/07/08 11:13:08","fsol14","2009/12/02 14:52:32"
"COD_KEISYO_SOUHU_KBN01","契約書送付区分01","2","SOUHUSUMI","1","送付済","lpa00","2008/07/08 11:13:08","fsol14","2009/12/02 14:52:32"
"COD_KEISYO_STS_KBN01","契約書状態区分01","1","SOUHUSUMI","0","送付済","lpa00","2008/07/08 11:14:51","fsol14","2009/12/02 14:52:41"
"COD_KEISYO_STS_KBN01","契約書状態区分01","2","SASIMODOSI","1","差戻し","lpa00","2008/07/08 11:14:51","fsol14","2009/12/02 14:52:41"
"COD_KEISYO_STS_KBN01","契約書状態区分01","3","ZYURYOUSUMI","2","受領済","lpa00","2008/07/08 11:14:51","fsol14","2009/12/02 14:52:41"
"COD_KEISYO_ZYURYOU_KBN01","契約書受領区分01","1","MITATU","0","未達","lpa00","2008/07/08 11:12:00","fsol14","2009/12/02 14:52:59"
"COD_KEISYO_ZYURYOU_KBN01","契約書受領区分01","2","ZYURYOUSUMI","1","受領済","lpa00","2008/07/08 11:12:00","fsol14","2009/12/02 14:52:59"
"COD_KEISYO_ZYURYOU_KBN02","契約書受領区分02","1","ALLVALUE","ALLVALUE","全て","lpa03","2009/02/03 13:48:21","fsol14","2009/12/02 14:53:09"
"COD_KEISYO_ZYURYOU_KBN02","契約書受領区分02","2","MITATU","0","未達","lpa03","2009/02/03 13:48:21","fsol14","2009/12/02 14:53:09"
"COD_KEISYO_ZYURYOU_KBN02","契約書受領区分02","3","ZYURYOUSUMI","1","受領済","lpa03","2009/02/03 13:48:21","fsol14","2009/12/02 14:53:09"
"COD_KEIYAKU_SOUHU_KBN01","契約送付区分01","1","SINPIN_MUSYOU","01","新品無償","fsol05","2009/08/13 13:52:16","fsol14","2009/12/02 14:53:17"
"COD_KEIYAKU_SOUHU_KBN01","契約送付区分01","2","TYUKO_MUSYOU","02","中古無償","fsol05","2009/08/13 13:52:16","fsol14","2009/12/02 14:53:17"
"COD_KEIYAKU_SOUHU_KBN01","契約送付区分01","3","YUSYOU","03","有償","fsol05","2009/08/13 13:52:16","fsol14","2009/12/02 14:53:17"
"COD_KEIYAKU_SOUHU_KBN01","契約送付区分01","4","KYOUTEISYO","04","協定書","fsol05","2009/08/13 13:52:16","fsol14","2009/12/02 14:53:17"
"COD_KEIYAKU_TEIKETU_KBN01","契約締結区分01","1","KOBETU","0","個別契約","lpa00","2008/07/08 11:19:32","fsol14","2009/12/02 14:53:25"
"COD_KEIYAKU_TEIKETU_KBN01","契約締結区分01","2","HOUKATU","1","包括契約","lpa00","2008/07/08 11:19:32","fsol14","2009/12/02 14:53:25"
"COD_KEIYAKU_ZYOUKEN_KBN01","契約条件区分01","1","MUSYOU","01","無償","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:53:34"
"COD_KEIYAKU_ZYOUKEN_KBN01","契約条件区分01","2","RENTAL","04","レンタル","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:53:34"
"COD_KEIYAKU_ZYOUKEN_KBN02","契約条件区分02","1","RENTAL","04","レンタル","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:53:43"
"COD_KEIYAKU_ZYOUKEN_KBN02","契約条件区分02","2","LEASE","02","顧客リース","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:53:43"
"COD_KEIYAKU_ZYOUKEN_KBN03","契約条件区分03","1","MUSYOU","01","無償","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:53:51"
"COD_KEIYAKU_ZYOUKEN_KBN03","契約条件区分03","2","RENTAL","04","レンタル","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:53:51"
