コンデションID,コンディション名称,固定表示位置,固定表示値,固定値標題,備考,登録担当者,登録日付,更新担当者,更新時間
"COD_HAKKOU_KBN01","発行区分01","0","","","","lpa01","2008/08/18 20:35:13","fsol14","2009/12/02 14:45:23"
"COD_HASSOU_SYORI_KBN01","発送処理区分01","0","","","","sis05","2008/07/10 14:32:14","fsol14","2009/12/02 14:45:32"
"COD_HENKOU_KBN01","変更区分01","0","","","","fsol14","2008/10/09 14:34:17","fsol14","2009/12/02 14:45:45"
"COD_HIYOU_HUTAN_KBN01","費用負担区分01","0","","","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_HOUKOKU_ZYOUKYOU01","売上報告書状況区分01","1"," ","全て","","sis05","2008/07/01 13:18:36","fsol14","2009/12/02 14:45:54"
"COD_HOUKOKUSYO_KBN01","報告書区分01","0","","","","fsol12","2011/02/22 11:44:59","fsol12","2011/02/24 21:34:49"
"COD_HUNOU_RIYU_KBN01","不能理由区分01","0","","","","fsol10","2011/01/06 22:40:33","fsol10","2011/01/06 22:40:34"
"COD_HURI_TESURYOU_KBN01","振込手数料区分01","1"," ","","","lpa00","2008/07/08 11:05:20","fsol14","2009/12/02 14:47:16"
"COD_HURI_TESURYOU_KBN02","振込手数料区分02","1"," ","","","fsol07","2011/02/24 22:06:57","fsol07","2011/02/24 22:09:03"
"COD_HURISITEIYOUSI_KBN01","振込指定用紙区分01","0","","","","fsol07","2011/01/26 14:13:52","fsol07","2011/01/26 14:13:52"
"COD_HUTAN_BUSYO_KBN01","負担部署区分01","0","","","","fsol07","2011/01/26 16:05:14","fsol07","2011/01/26 16:05:14"
"COD_HUTAN_BUSYO_TOK_KBN01","負担部署得意先区分01","0","","","","fsol07","2011/01/26 15:58:14","fsol07","2011/01/26 15:58:14"
"COD_HUTAN_KBN01","負担区分01","1"," "," ","","fsol05","2009/03/23 20:12:58","fsol05","2009/03/23 20:19:52"
"COD_HUTAN_KBN02","負担区分02","1"," "," ","","fsol05","2009/03/23 20:12:58","fsol05","2009/03/24 11:25:53"
"COD_HUTAN_KBN03","負担区分03","1"," "," ","","fsol05","2009/03/23 20:12:58","fsol05","2009/03/24 11:26:06"
"COD_HUTAN_KBN04","負担区分04","1"," "," ","","fsol05","2009/03/23 20:12:58","fsol05","2009/03/24 11:26:19"
"COD_HUTAN_KBN05","負担区分05","1"," "," ","","fsol05","2009/03/23 20:12:58","fsol05","2009/03/24 11:26:29"
"COD_HYOUZI_KBN01","表示区分01","0","","","","fsol07","2011/01/26 14:47:41","fsol07","2011/01/26 14:47:41"
"COD_INFO_KBN01","情報区分01","0","","","","lpa01","2008/08/19 15:52:08","fsol14","2009/12/02 14:48:19"
"COD_INSATU_TAISYO01","印刷対象01","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:48:41"
"COD_KAGISYOZAI_KBN01","カギ所在地区分01","0","","","","fsol05","2009/03/23 20:12:58","fsol05","2009/03/23 20:14:10"
"COD_KAIIN_UMU_KBN01","会員番号有無区分01","0","","","","base07","2009/05/07 18:28:48","fsol14","2009/12/02 14:49:37"
"COD_KAISOUSITEI_KBN01","回送先指定区分01","1"," ","選択なし","","fsol09","2008/07/15 16:45:15","fsol14","2009/12/02 15:32:41"
"COD_KAISYA_KBN01","会社区分01","0","","","","fsol09","2008/05/02 09:15:22","fsol14","2009/12/02 14:49:48"
