用語物理名,用語論理名,備考,登録担当者,登録日付,更新担当者,更新時間
"SEIZOU","製造","","sis02","2008/04/21 10:19:39","sis02","2008/04/21 10:19:39"
"SEKININ","責任","","sis02","2008/04/21 10:19:51","sis02","2008/04/21 10:19:51"
"SEKININSYA","責任者","","fsol10","2008/06/17 18:50:51","fsol10","2008/06/17 18:50:51"
"SEKISAI","積載","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"SEKISU","積数","","sis02","2008/04/21 10:20:03","sis02","2008/04/21 10:20:03"
"SELE","セレクション","","sis02","2008/04/21 10:20:15","sis02","2008/04/21 10:20:15"
"SENI","遷移","","fsol12","2011/03/04 18:04:51","fsol12","2011/03/04 18:04:51"
"SENRYAKU","戦略","","sis02","2008/04/21 10:20:33","sis02","2008/04/21 10:20:33"
"SENTAKU","選択","","sis02","2008/07/23 15:41:35","sis02","2008/07/23 15:42:52"
"SENYOU","専用","","sis02","2008/04/21 10:20:54","sis02","2008/04/21 10:20:54"
"SEQ","順序","","sis02","2008/04/21 10:21:09","sis02","2008/04/21 10:21:09"
"SEQ","シーケンス","","base08","2008/12/05 16:31:21","base08","2008/12/05 16:31:21"
"SET","セット","","lpa00","2008/07/10 11:15:36","lpa00","2008/07/10 11:15:36"
"SETTEI","設定","","sis02","2008/04/21 10:21:29","sis02","2008/04/21 10:21:29"
"SETTI","設置","","sis02","2008/04/21 10:21:43","sis02","2008/04/21 10:21:43"
"SETTIKI","設置機","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"SETUMEI","説明","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"SEX","性別","","sis02","2008/04/21 10:21:56","sis02","2008/04/21 10:21:56"
"SHELL","シェル","","lpa04","2009/10/06 13:45:19","lpa04","2009/10/06 13:45:19"
"SHN","商品","","sis02","2008/04/21 10:22:38","sis01","2008/04/23 14:19:23"
"SHNDAI","商品代","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"SIEN","支援","","sis02","2008/04/21 10:22:51","sis02","2008/04/21 10:22:51"
"SIHA","支払","","sis02","2008/04/21 10:23:24","sis01","2008/04/23 14:19:41"
"SIHANKI","四半期","","sis02","2008/04/21 10:23:04","sis02","2008/04/21 10:23:04"
"SIHARAININ","支払人","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"SIHASAKI","支払先","大同薬品での限定使用とし、ＡＤＳでは使用禁止とする","sis02","2008/07/01 10:46:39","fsol04","2009/04/13 14:48:38"
"SIKI","式","","wt03","2008/05/20 10:38:46","wt03","2008/05/20 10:38:46"
"SIKIBETU","識別","","sis02","2008/04/21 10:23:36","sis02","2008/04/21 10:23:36"
"SIKIN","資金","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"SIKUTYOSON","市区町村","","sis01","2008/04/21 12:28:54","fsol09","2008/12/18 19:58:11"
"SIKYOUHIN","試供品","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"SIKYU","支給","","sis01","2008/04/23 14:16:30","sis01","2008/04/23 14:16:30"
"SIME","締","","sis01","2008/04/23 14:17:23","sis01","2008/04/23 14:17:23"
"SIMEBI","締日","","sis02","2008/04/21 10:24:12","sis02","2008/04/21 10:24:12"
"SIMEI","氏名","","lpa01","2008/06/11 13:51:03","lpa01","2008/06/11 13:51:03"
"SIMEKIRI","締切","","sis02","2008/04/21 10:24:24","sis02","2008/04/21 10:24:24"
"SIMEKYAKU","締客","","sis02","2008/04/21 10:24:36","sis02","2008/04/21 10:24:36"
"SIMUKE","仕向","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"SIN","新","","fsol10","2008/11/26 13:48:27","fsol10","2008/11/26 13:48:27"
"SINKI","新規","","sis02","2008/04/21 10:24:50","sis02","2008/04/21 10:24:50"
"SINKO","新古","","sis01","2008/04/23 14:15:33","sis01","2008/04/23 14:15:33"
"SINSEI","申請","","sis02","2008/04/21 10:20:44","sis02","2008/04/21 10:20:44"
"SINSEIBAKO","申請箱","","fsol10","2011/01/04 19:42:54","fsol10","2011/01/04 19:42:54"
"SINSEISYO","申請書","","sis01","2008/04/23 14:15:03","sis01","2008/04/23 14:15:03"
"SIRE","仕入","","sis02","2008/04/21 10:25:45","sis02","2008/04/21 10:25:45"
"SISAN","資産","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"SISETU","施設","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"SISYUTU","支出","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"SITE","サイト","","sis02","2008/04/21 10:25:56","sis02","2008/04/21 10:25:56"
"SITEI","指定","","fsol10","2008/05/23 10:25:14","fsol10","2008/05/23 10:25:14"
"SITEN","支店","","sis02","2008/04/21 10:26:06","sis02","2008/04/21 10:26:06"
"SITUKEN","質権","","sis02","2008/04/21 10:27:25","sis02","2008/04/21 10:27:25"
"SIWAKE","仕訳","","sis02","2008/04/21 10:27:40","sis02","2008/04/21 10:27:40"
"SIYOU","使用","","sis02","2008/04/21 10:27:50","sis02","2008/04/21 10:27:50"
"SIYOURYOU","使用料","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"SIZAI","資材","","sis02","2008/04/21 10:28:00","sis02","2008/04/21 10:28:00"
"SIZI","指示","","fsol05","2008/06/24 14:43:43","fsol05","2008/06/24 14:43:43"
"SKRBT","商品拡販リベート","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"SLASH","スラッシュ","","wt01","2008/07/30 18:49:00","wt01","2008/07/30 18:49:00"
"SORT","ソート用","","fsol05","2008/08/12 21:51:09","fsol05","2008/08/12 21:51:09"
"SORT","順番","","fsol10","2008/04/22 23:27:11","fsol10","2008/04/22 23:27:11"
"SOUGAKU","総額","","sis02","2008/04/21 10:28:10","sis02","2008/04/21 10:28:10"
"SOUHU","送付","","sis02","2008/04/21 10:28:21","sis02","2008/04/21 10:28:21"
"SOUHUHYOU","送付票","","sis01","2008/04/23 14:15:53","sis01","2008/04/23 14:15:53"
"SOUI","相違","","base00","2009/03/22 22:43:50","base00","2009/03/22 22:43:50"
"SOUKATU","総括","","sis02","2008/04/21 10:28:46","sis02","2008/04/21 10:28:46"
"SOUKEI","総計","","fsol05","2009/04/13 15:37:04","fsol05","2009/04/13 15:37:04"
"SOUKIN","送金","","sis02","2008/04/21 10:28:57","sis02","2008/04/21 10:28:57"
"SOUSA","操作","","lpa01","2008/04/24 17:34:12","lpa01","2008/04/24 17:34:12"
"SOUSAI","相殺","","sis02","2008/04/21 10:29:06","sis02","2008/04/21 10:29:06"
"SOUSIHA","総支払","","sis02","2008/07/31 16:40:05","sis02","2008/07/31 16:40:05"
"SOUSIN","送信","","sis01","2008/04/23 14:16:41","sis01","2008/04/23 14:16:41"
"SPACE","スペース","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"SPEC","仕様","","sis02","2008/04/21 10:29:16","sis02","2008/04/21 10:29:16"
"SPOT","スポット","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"START","開始","","sis02","2008/04/21 10:29:32","sis02","2008/04/21 10:29:32"
"START","スタート","","sis05","2008/07/07 15:31:46","sis05","2008/07/07 15:31:46"
"STS","状態","","sis02","2008/04/21 10:29:50","sis02","2008/04/21 10:29:50"
"SU","数","","sis01","2008/04/23 14:16:47","sis01","2008/04/23 14:16:47"
"SUB","サブ","","sis02","2008/04/21 10:30:00","sis02","2008/04/21 10:30:00"
"SUII","推移","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"SUISIN","推進","","sis02","2008/04/21 10:30:12","sis02","2008/04/21 10:30:12"
"SUITOU","出納","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"SUMI","済","","sis02","2008/04/21 10:30:28","sis02","2008/04/21 10:30:28"
"SUN","日曜","","sis02","2008/04/21 10:30:38","sis02","2008/04/21 10:30:38"
"SURYOU","数量","","sis02","2008/04/21 10:30:47","sis02","2008/04/21 10:30:47"
"SUTI","数値","","fsol10","2008/07/14 20:26:08","fsol10","2008/07/16 14:26:24"
"SWITCH","スイッチ","","wt02","2008/11/18 15:30:37","wt02","2008/11/18 15:30:37"
"SYA","者","","fsol10","2008/04/22 23:16:38","fsol10","2008/04/22 23:16:38"
"SYAGAI","社外","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"SYAIN","社員","","sis02","2008/04/21 10:30:56","sis02","2008/04/21 10:30:56"
"SYARYOU","車輌","","sis02","2008/04/21 10:31:05","sis02","2008/04/21 10:31:05"
"SYO","所","","fsol10","2008/04/22 23:30:11","fsol10","2008/04/22 23:30:11"
"SYOBUN","処分","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"SYOKAIRYOU","紹介料","","lpa01","2008/06/11 14:33:31","lpa01","2008/06/11 14:33:31"
"SYOKI","初期","","fsol10","2010/12/09 13:48:01","fsol10","2010/12/09 13:48:01"
"SYOKUMU","職務","","fsol10","2008/07/15 11:50:44","fsol10","2008/07/15 11:50:44"
"SYORI","処理","","sis02","2008/04/21 10:32:09","sis02","2008/04/21 10:32:09"
"SYOSIKI","書式","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"SYOUGAKU","小額","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"SYOUHI","消費","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"SYOUKEI","小計","","fsol05","2009/04/14 10:01:36","fsol05","2009/04/14 10:01:36"
"SYOUKEN","商権","","lpa01","2008/05/26 13:28:50","lpa00","2008/07/08 15:37:12"
"SYOUKYAKU","償却","","fsol07","2011/01/26 09:23:28","fsol07","2011/01/26 09:23:28"
"SYOUMI","賞味","","fsol09","2009/02/06 14:20:07","fsol09","2009/02/06 14:20:07"
"SYOUNIN","承認","","sis02","2008/04/21 10:32:18","sis02","2008/04/21 10:32:18"
"SYOUSAI","詳細","","sis02","2008/04/21 10:32:27","sis02","2008/04/21 10:32:27"
