用語物理名,用語論理名,備考,登録担当者,登録日付,更新担当者,更新時間
"ZITU","実","","base01","2008/11/20 21:09:39","base00","2009/01/09 17:35:19"
"ZITUKADOU","実稼働","","sis01","2008/04/22 11:20:10","sis01","2008/04/23 17:46:02"
"ZUIZI","随時","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"ZYOGAI","除外","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"ZYOKYO","除去","","base01","2008/11/10 16:37:58","base01","2008/11/10 16:37:58"
"ZYOUGEN","上限","","sis01","2008/04/21 10:46:35","sis01","2008/04/21 10:46:35"
"ZYOUI","上位","","sis01","2008/04/21 10:46:40","sis01","2008/04/21 10:46:40"
"ZYOUKEN","条件","","sis01","2008/04/21 10:46:45","sis01","2008/04/21 10:46:45"
"ZYOUKYOU","状況","","sis02","2008/06/30 14:42:09","sis02","2008/06/30 14:42:09"
"ZYUKI","什器","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"ZYURI","受理","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"ZYURYOU","受領","","sis01","2008/04/21 10:46:49","sis01","2008/04/21 10:46:49"
"ZYUSYO","住所","","sis01","2008/04/21 10:46:54","sis01","2008/04/21 10:46:54"
"ZYUSYO1","住所１","","sis01","2008/04/21 10:46:58","sis01","2008/04/21 10:46:58"
"ZYUSYO2","住所２","","sis01","2008/04/21 10:47:04","sis01","2008/04/21 10:47:04"
"ZYUSYO3","住所３","","fsol09","2008/05/09 08:11:16","fsol09","2008/05/09 08:11:16"
"ZYUTYU","受注","","fsol03","2008/04/17 12:59:38","fsol03","2008/04/17 12:59:38"
